KEY,NAME,EPIC_KEY,LONGNAME,GENERIC_NAME,UNITS,FORMAT,COMMENTS
975,VWS,VWS_975,wetStar Voltage          , ,volts, ,Wetlabs wetstar fluorometer
976,VSP,VSP_976,SeaPoint Voltage         , ,volts, ,SeaPoint fluorometer
980,Trb ,Trb_980,Turbidity(FNU)          ,turb,FNU,f10.2,formazin nephelometric units
981,Sed,Sed_981,Sediment concentration   ,sed,g/l,f10.2,sediment concentration
990,BUG,BUG_990,Plankton Concentration   , ,number/l, , individuals per liter
991,SmCNpl,SmCNpl_991,Copepod Nauplii (< 150 micrometers) Conc.,CopNpl,number/l,  ,oncentration of Copepod Nauplii (< 150 micrometers)
992,LgCNpl,LgCNpl_992,Copepod Nauplii (>= 150 micrometers) Conc.,CopNpl,number/l, , Concentration of Copepod Nauplii (>= 150 micrometers)
993,TCNpl,TCNpl_993,Copepod Nauplii Concentration,CopNpl,number/l, ,Copepod Nauplii Concentration 
994,DV,DV_994,Zooplankton Disp. Vol.    , ,ml/m**3,f5.2,Zooplankton Displacement Volume Conc.
995,DW,DW_995,Zooplankton Dry Wt./Vol.  , ,mg/m**3,f5.1,Zooplankton Dry Weight Conc.
996,DWA,DWA_996,Zooplankton Dry Wt./Area , ,mg/m**2,f5.1,Zooplankton Dry Weight Areal Conc.
1141,YDF,YDF_1141,MERID DIFFUS HEAT FLUX   , ,W m-2, ,ping 12/10/90
1142,MHF,MHF_1142,MERID ADVECT HEAT FLUX   , ,W m-2, ,ping 12/10/90
1143,VE ,VE_1143,VERTICAL ENTRAINMENT     , ,W m-2, ,ping 12/10/90
1144,Qt ,Qt_1144,HEAT CONTENT CHANGE      , ,W m-2, ,ping 12/11/90
1145,Qt*,Qt*_1145,QT*=QNET+QU+QW+QZ        , ,W m-2, ,ping 12/11/90
1200,Tim ,Tim_1200,Ensemble Length          ,ens_length,s, ,ADCP Ensemble Length
1201,Werr,Werr_1201,Error Velocity           ,w,cm/s,F8.1,ADCP Error Velocity
1202,AGC ,AGC_1202,Avg. Echo Intensity (AGC),AGC,counts,F5.1,ADCP Beam Averaged AGC
1203,PGd ,PGd_1203,Percent Good Pings       , , , ,ADCP Percent Good Pings
1204,w   ,w_1204,Vertical Velocity        ,w,cm/s, ,Vertical Velocity
1205,u   ,u_1205,Eastward Velocity        ,u,cm/s, ,Eastward Velocity
1206,v   ,v_1206,Northward Velocity       ,v,cm/s, ,Northward Velocity
1207,Rec ,Rec_1207,Records                  , , , ,ADCP Records
1208,Png ,Png_1208,Pings                    , , , ,ADCP Pings
1209,EISD,EISD_1209,Echo Intensity (AGC) Std. Dev.,AGC,counts,F5.1,ADCP AGC (1202) Std Dev
1210,BIT ,BIT_1210,ADCP BIT Status          , , , ,ADCP Built-in Test Status
1211,Tx  ,Tx_1211,ADCP Transducer Temp.    ,temp,deg. C,F10.2,ADCP Transducer Temp
1215,Hdg ,Hdg_1215,INST Heading             ,hdg,degrees,F10.2,ADCP heading
1216,Ptch,Ptch_1216,INST Pitch               ,ptch,degrees,F10.2,ADCP pitch
1217,Roll,Roll_1217,INST Roll                ,roll,degrees,F10.2,ADCP roll
1218,HSD ,HSD_1218,Heading Std. Dev.        ,hdg,degrees, ,ADCP Hdg. Std. Dev.
1219,PSD ,PSD_1219,Pitch Std. Dev.          ,ptch,degrees, ,ADCP Pitch Std. Dev.
1220,RSD ,RSD_1220,Roll Std. Dev.           ,roll,degrees, ,ADCP Roll Std. Dev.
1221,AGC1,AGC1_1221,Echo Intensity (AGC) Beam 1,AGC,counts, ,ADCP Beam 1 AGC
1222,AGC2,AGC2_1222,Echo Intensity (AGC) Beam 2,AGC,counts, ,ADCP Beam 2 AGC
1223,AGC3,AGC3_1223,Echo Intensity (AGC) Beam 3,AGC,counts, ,ADCP Beam 3 AGC
1224,AGC4,AGC4_1224,Echo Intensity (AGC) Beam 4,AGC,counts, ,ADCP Beam 4 AGC
1231,Sv  ,Sv_1231,Mean Backscattering Strength,Sv,dB, ,"ADCP Mn Bksctr, ref to last bin"
1232,Sv  ,Sv_1232,Mean Backscattering Strength,Sv,dB, ,"ADCP Mn Bksctr, ref to noise cal"
1233,Sv1 ,Sv1_1233,Backscattering Strength Beam 1,Sv,dB, ,"ADCP Bksctr., ref to noise cal"
1234,Sv2 ,Sv2_1234,Backscattering Strength Beam 2,Sv,dB, ,"ADCP Bksctr., ref to noise cal"
1235,Sv3 ,Sv3_1235,Backscattering Strength Beam 3,Sv,dB, ,"ADCP Bksctr., ref to noise cal"
1236,Sv4 ,Sv4_1236,Backscattering Strength Beam 4,Sv,dB, ,"ADCP Bksctr., ref to noise cal"
1237,SvSD,SvSD_1237,Backscattering Strength Std. Dev,Sv,dB, ,ADCP Bksctr. Std. Dev.
1241,PGd1,PGd1_1241,Percent Good Beam 1         , , , ,ADCP Percent Good Beam 1
1242,PGd2,PGd2_1242,Percent Good Beam 2         , , , ,ADCP Percent Good Beam 2
1243,PGd3,PGd3_1243,Percent Good Beam 3         , , , ,ADCP Percent Good Beam 3
1244,PGd4,PGd4_1244,Percent Good Beam 4         , , , ,ADCP Percent Good Beam 4
1245,PG4B,PG4B_1245,Percent 4-Beam Solns. Good  , , , ,ADCP Percent 4-Beam Solns. Good
1246,PG3B,PG3B_1246,Percent 3-Beam Solns. Good  , , , ,ADCP Percent 3-Beam Solns. Good
1247,PGWe,PGWe_1247,Percent Error Vel. Good     , , , ,ADCP Percent Error Vel. Good
1251,St1 ,St1_1251,Status Beam 1               , , , ,ADCP Beam 1 Status
1252,St2 ,St2_1252,Status Beam 2               , , , ,ADCP Beam 2 Status
1253,St3 ,St3_1253,Status Beam 3               , , , ,ADCP Beam 3 Status
1254,St4 ,St4_1254,Status Beam 4               , , , ,ADCP Beam 4 Status
1255,StBn,StBn_1255,Bin Status                  , , , ,ADCP Bin Status
1260,BTWe,BTWe_1260,BT Error Velocity           ,w,cm/s, ,ADCP Btm. Trk. Error Velocity
1261,BTu ,BTu_1261,BT Eastward Velocity        ,u,cm/s, ,ADCP Btm. Trk. Eastward Velocity
1262,BTv ,BTv_1262,BT Northward Velocity       ,v,cm/s, ,ADCP Btm. Trk. Northward Velocity
1263,BTw ,BTw_1263,BT Vertical Velocity        ,w,cm/s, ,ADCP Btm. Trk. Vertical Velocity
1264,BTR1,BTR1_1264,BT Range Beam 1             , ,m, ,ADCP Btm. Trk. Range Beam1
1265,BTR2,BTR2_1265,BT Range Beam 2             , ,m, ,ADCP Btm. Trk. Range Beam2
1266,BTR3,BTR3_1266,BT Range Beam 3             , ,m, ,ADCP Btm. Trk. Range Beam3
1267,BTR4,BTR4_1267,BT Range Beam 4             , ,m, ,ADCP Btm. Trk. Range Beam4
1268,BTRa,BTRa_1268,BT Average Range            , ,m, ,ADCP Btm. Trk. Range Average
1269,BTSD,BTSD_1269,BT Range Std. Dev.          , ,m, ,ADCP Btm. Trk. Range St Dev
1270,BTP1,BTP1_1270,BT Percent Good Beam 1      , , , ,ADCP Btm. Trk. Beam 1 % Good Pings
1271,BTP2,BTP2_1271,BT Percent Good Beam 2      , , , ,ADCP Btm. Trk. Beam 2 % Good Pings
1272,BTP3,BTP3_1272,BT Percent Good Beam 3      , , , ,ADCP Btm. Trk. Beam 3 % Good Pings
1273,BTP4,BTP4_1273,BT Percent Good Beam 4      , , , ,ADCP Btm. Trk. Beam 4 % Good Pings
1275,Un  ,Un_1275,Track Normal Velocity       ,un,cm/s, ,ADCP Vel. normal to track
1276,Vt  ,Vt_1276,Track Tangential Velocity   ,vt,cm/s, ,ADCP Vel. tangential to track
1277,vel1,vel1_1277,Beam 1 velocity (mm/s)    , ,mm s-1,f10.2,ADCP velocity along beam 1
1278,vel2,vel2_1278,Beam 2 velocity (mm/s)    , ,mm s-1,f10.2,ADCP velocity along beam 2
1279,vel3,vel3_1279,Beam 3 velocity (mm/s)    , ,mm s-1,f10.2,ADCP velocity along beam 3
1280,vel4,vel4_1280,Beam 4 velocity (mm/s)    , ,mm s-1,f10.2,ADCP velocity along beam 4
1281,att1,att1_1281,Beam 1 attenuation        , ,counts,i10,ADCP attenuation of beam 1
1282,att2,att2_1282,Beam 2 attenuation        , ,counts,i10,ADCP attenuation of beam 2
1283,att3,att3_1283,Beam 3 attenuation        , ,counts,i10,ADCP attenuation of beam 3
1284,att4,att4_1284,Beam 4 attenuation        , ,counts,i10,ADCP attenuation of beam 4
1285,cor1,cor1_1285,Beam 1 correlation        , ,counts,i10,ADCP correlation of beam 1
1286,cor2,cor2_1286,Beam 2 correlation        , ,counts,i10,ADCP correlation of beam 2
1287,cor3,cor3_1287,Beam 3 correlation        , ,counts,i10,ADCP correlation of beam 3
1288,cor4,cor4_1288,Beam 4 correlation        , ,counts,i10,ADCP correlation of beam 4
1290,xmtc,xmtc_1290,ADCP transmit current     ,xmitc,amps,f10.3,
1291,xmtv,xmtv_1291,ADCP transmit voltage     ,xmitv,volts,f10.3,
1292,dac ,dac_1292,ADCP DAC output           ,dac,counts,i10,
1293,vdc ,vdc_1293,ADCP VDC voltage          ,vdc,volts,f10.3,
1294,P,P_1294,ADCP Pressure,pres,deca-pascals,F15.2,ADCP Pressure at Transducer Head
1295,PVAR,PVAR_1295,ADCP Pressure Variance,pvar,deca-pascals,F15.2,ADCP Pressure Variance at Transducer Head
1301,BPR  ,BPR_1301,BOTTOM PRESSURE            , ,PSIA, ,Pounds Per Square Inch Absolute
1371,U48,U48_1371,U Amplitude (CM/S) 48hrs ,u48,cm s-1, ,measured w/r true N
1372,V48,V48_1372,V Amplitude (CM/S) 48hrs ,v48,cm s-1, ,measured w/r true N
1380,Res ,Res_1380,MTR resistance          ,res,ohm,f10.2,Instrument resistance
1401,hdg ,hdg_1401,AMP compass heading     ,comp,degrees,f10.2,compass heading
1402,van ,van_1402,AMP vane                ,vane,degrees,f10.2,vane reading
1403,van ,van_1403,VANE ANGLE              ,vane,degrees,f10.1,current orientation to instrument
1404,comp,comp_1404,COMPASS (m)             ,comp,degreeM,f10.1,instrument orientation to magnetic north
1406,comp,comp_1406,ORIENTATION (BASS)      ,comp,degrees,f10.3,orientation of BASS pods
1407,comp,comp_1407,RAW COMPASS VOLTS (MIDAS),comp,counts,i10,MIDAS raw compass voltage
1408,rcomp,rcomp_1408,ENCODED COMPASS        ,comp,128.lvl.binary,i10,vacm grey code compass
1409,rvane,rvane_1409,ENCODED VANE           ,vane,128.lvl.binary,i10,vacm grey code vane
1411,bear,bear_1411,bearing (m)      ,dir,degreeM,f8.2,"instantaneous dir., magnetic north (oceanographic)"
1412,bear,bear_1412,bearing (t)      ,dir,degreeT,f8.2,"instantaneous dir., true north (oceanographic)"
1413,bear,bear_1413,bearing (r)      ,dir,degrees,f8.2,"instantaneous dir., rotated (oceanographic)"
1414,vdir,vdir_1414,vector direction (m),vdir,degreeM,f8.2,"averaged dir., magnetic north (oceanographic)"
1415,vdir,vdir_1415,vector direction (t),vdir,degreeT,f8.2,"averaged dir., true north (oceanographic)"
1416,vdir,vdir_1416,vector direction (r),vdir,degrees,f8.2,"averaged dir., rotated (oceanographic)"
1500,LAT,LAT_1500,START LATITUDE           ,start_lat,degree_north,f10.4,N positive S negative
1501,LON,LON_1501,START LONGITUDE          ,start_lon,degree_west,f10.4,W positive 165W=165
1502,LON,LON_1502,START LONGITUDE          ,start_lon,degree_east,f10.4,E positive 165W=195
1510,LAT,LAT_1510,END LATITUDE             ,end_lat,degree_north,f10.4,N positive S negative
1511,LON,LON_1511,END LONGITUDE            ,end_lon,degree_west,f10.4,W positive 165W=165
1512,LON,LON_1512,END LONGITUDE            ,end_lon,degree_east,f10.4,E positive 165W=195
1601,IQ,IQ_1601,WEPOCS QUALITY ID         ,iq, , ,Billy Kessler's WEPOCS CTD
1701,F11,F11_1701,CFC-11 (PMOL/KG)         ,f11,pmol/kg,f10.6,trichloroflouoromethane
1702,F12,F12_1702,CFC-12 (PMOL/KG)         ,f12,pmol/kg,f10.6,dichlorofluoromethane
1711,PF11,PF11_1711,PCFC-11                 ,pf11, ,f5.2,CFC-11 equilibrium partial-pressure
1712,PF12,PF12_1712,PCFC-12                 ,pf12, ,f5.2,CFC-12 equilibrium partial-pressure
1721,PF11AGE,PF11AGE_1721,Pf11age              ,pf11age,years,f8.3,cfc11 partial pressure age
1722,PF12AGE,PF12AGE_1722,Pf12age              ,pf12age,years,f8.3,cfc12 partial pressure age
1723,PFRATAGE,PFRATAGE_1723,Pfratage            ,pfratage,years,f8.3,cfcratio partial pressure age
1731,F11CORR,F11CORR_1731,CORRECTED CFC-11     ,f11corr,pmol/kg,f10.6,corrected trichloroflouoromethane
1732,F12CORR,F12CORR_1732,CORRECTED CFC-12     ,f12corr,pmol/kg,f10.6,corrected dichlorofluoromethane
1751,TCO2,TCO2_1751,TOTAL CO2 (micromoles/kg),dic,uM/kg,f6.1,Dissolved Organic Carbon (micromoles/kg)
1752,NTCO2,NTCO2_1752,NORMALIZED TCO2 (uM/kg),ndic,uM/kg,f6.1,Normalized Dissolved Organic Carbon (micromoles/kg)
1753,DIC,DIC_1753,DISS. INORG. CARBON (umol/kg),dic,umol/kg,f6.1,Dissolved Inorganic Carbon (micromoles/kg) from Dick Feely
1754,TALK,TALK_1754,TOTAL ALKALINITY (uM/kg),alk,uM/kg,f6.1,Total Alkalinity from Dick Feely
1755,PCO2,PCO2_1755,PARTIAL CO2 PRESSURE (microATM),pco2,uATM,f6.4,Partial CO2 Pressure from Dick Feely
1756,TALK,TALK_1756,Total Alkalinity        ,alk,meq/l, ,Total alkalinity from WOD2001
1800,Teq ,Teq_1800,Equilibrator Temperature, ,degree C,f10.2,
1801,CH4a,CH4a_1801,CH4air                  ,ch4,ppb, ,
1802,CH4w,CH4w_1802,CH4water                ,ch4,nmol/L, ,
1803,CH4e,CH4e_1803,CH4equilibrator         ,ch4,ppb, ,
1804,COa ,COa_1804,COair                   ,co,ppb, ,
1805,COw ,COw_1805,COwater                 ,co,nmol/L, ,
1806,COe ,COe_1806,COequilibrator          ,co,ppb, ,
1807,O3  ,O3_1807,Ozone                   ,o3,ppb, ,
1808,DMSa,DMSa_1808,DMSair                  ,dms,ppt, ,
1809,DMSw,DMSw_1809,DMSwater                ,dms,nmol/L, ,
1810,Rn  ,Rn_1810,Radon                   , ,mBq m-3, ,
1811,pC4a,pC4a_1811,pCH4air                 ,ch4,micro-atm, ,
1812,pC4w,pC4w_1812,pCH4water               ,ch4,micro-atm, ,
1814,pCOa,pCOa_1814,pCOair                  ,co,micro-atm, ,
1815,pCOw,pCOw_1815,pCOwater                ,co,micro-atm, ,
1816,SO2 ,SO2_1816,Atmospheric Sulfur Dioxide,so2,ppb, ,
1851,CN  ,CN_1851,Total Particles Dp>12nm , ,cm-3, ,condensation nuclei
1852,UFCN,UFCN_1852,Total Particles Dp>3nm  , ,cm-3, ,ultrafine condensation nuclei
1853,CN  ,CN_1853,Total Particles Dp>13nm , ,cm-3, ,condensation nuclei
1861,ASB ,ASB_1861,Aerosol Scat Blue       , ,Mm-1, ,
1862,ASG ,ASG_1862,Aerosol Scat Green      , ,Mm-1, ,
1863,ASR ,ASR_1863,Aerosol Scat Red        , ,Mm-1, ,
1864,ABSB,ABSB_1864,Aerosol Back Scat Blue  , ,Mm-1, ,
1865,ABSG,ABSG_1865,Aerosol Back Scat Green , ,Mm-1, ,
1866,ABSR,ABSR_1866,Aerosol Back Scat Red   , ,Mm-1, ,
1867,SASB,SASB_1867,Submicron AeroScat Blue , ,Mm-1, ,
1868,SASG,SASG_1868,Submicron AeroScat Green, ,Mm-1, ,
1869,SASR,SASR_1869,Submicron AeroScat Red  , ,Mm-1, ,
1870,SBSB,SBSB_1870,Submicron Aero BkScat Blue , ,Mm-1, ,
1871,SBSG,SBSG_1871,Submicron Aero BkScat Green, ,Mm-1, ,
1872,SBSR,SBSR_1872,Submicron Aero BkScat Red  , ,Mm-1, ,
1873,AAb ,AAb_1873,Aerosol Absorbance          , ,Mm-1, ,
1874,SAAb,SAAb_1874,Submicron Aerosol Absorbance, ,Mm-1, ,
1875,ASST ,ASST_1875,Aerosol Scat Nephelometer Temp    , ,degC, ,
1876,ASSRH,ASSRH_1876,Aerosol Scat Nephelometer RH      , ,%, ,
1877,ASSP ,ASSP_1877,Aerosol Scat Nephelometer Pressure, ,mbar, ,
1879,AODAMS,AODAMS_1879,AOD measurement airmass, ,atmosphere , ,
1880,AODMZA,AODMZA_1880,AOD measurement zenith angle, ,degrees, ,
1881,AOD1 ,AOD1_1881,Aerosol Optical Depth Ch-1 , , , ,
1882,AOD2 ,AOD2_1882,Aerosol Optical Depth Ch-2 , , , ,
1883,AOD3 ,AOD3_1883,Aerosol Optical Depth Ch-3 , , , ,
1884,AOD4 ,AOD4_1884,Aerosol Optical Depth Ch-4 , , , ,
1885,AOD5 ,AOD5_1885,Aerosol Optical Depth Ch-5 , , , ,
1886,AOD6 ,AOD6_1886,Aerosol Optical Depth Ch-6 , , , ,
1887,AOD7 ,AOD7_1887,Aerosol Optical Depth Ch-7 , , , ,
1888,AOD8 ,AOD8_1888,Aerosol Optical Depth Ch-8 , , , ,
1889,AOD9 ,AOD9_1889,Aerosol Optical Depth Ch-9 , , , ,
1890,AOD10,AOD10_1890,Aerosol Optical Depth Ch-10, , , ,
1891,AAb1,AAb1_1891,Aerosol Absorbance at wavelength 1, ,Mm-1,  ,
1892,AAb2,AAb2_1892,Aerosol Absorbance at wavelength 2, ,Mm-1,  ,
1893,AAb3,AAb3_1893,Aerosol Absorbance at wavelength 3, ,Mm-1,  ,
1894,SAAb1,SAAb1_1894,Submicron Aerosol Absorbance at wavelength 1, ,Mm-1,  ,
1895,SAAb2,SAAb2_1895,Submicron Aerosol Absorbance at wavelength 2, ,Mm-1,  ,
1896,SAAb3,SAAb3_1896,Submicron Aerosol Absorbance at wavelength 3, ,Mm-1,  ,
1900,V00,V00_1900,VARIABLE 0               , , , ,
1901,V01,V01_1901,VARIABLE 1               , , , ,
1902,V02,V02_1902,VARIABLE 2               , , , ,
1903,V03,V03_1903,VARIABLE 3               , , , ,
1904,V04,V04_1904,VARIABLE 4               , , , ,
1905,V05,V05_1905,VARIABLE 5               , , , ,
1906,V06,V06_1906,VARIABLE 6               , , , ,
1907,V07,V07_1907,VARIABLE 7               , , , ,
1908,V08,V08_1908,VARIABLE 8               , , , ,
1920,Na    ,Na_1920,Soluble Submicron Aerosol Sodium                 , ,ug/m^3, , 
1921,Na    ,Na_1921,Soluble Supermicron Aerosol Sodium               , ,ug/m^3, , 
1922,Na    ,Na_1922,Soluble Sub10micron Aerosol Sodium               , ,ug/m^3, , 
1923,NH4   ,NH4_1923,Soluble Submicron Aerosol Ammonium               , ,ug/m^3, , 
1924,NH4   ,NH4_1924,Soluble Supermicron Aerosol Ammonium             , ,ug/m^3, , 
1925,NH4   ,NH4_1925,Soluble Sub10micron Aerosol Ammonium             , ,ug/m^3, , 
1926,K     ,K_1926,Soluble Submicron Aerosol Potassium              , ,ug/m^3, , 
1927,K     ,K_1927,Soluble Supermicron Aerosol Potassium            , ,ug/m^3, , 
1928,K     ,K_1928,Soluble Sub10micron Aerosol Potassium            , ,ug/m^3, , 
1929,Mg    ,Mg_1929,Soluble Submicron Aerosol Magnesium              , ,ug/m^3, , 
1930,Mg    ,Mg_1930,Soluble Supermicron Aerosol Magnesium            , ,ug/m^3, , 
1931,Mg    ,Mg_1931,Soluble Sub10micron Aerosol Magnesium            , ,ug/m^3, , 
1932,Ca    ,Ca_1932,Soluble Submicron Aerosol Calcium                , ,ug/m^3, , 
1933,Ca    ,Ca_1933,Soluble Supermicron Aerosol Calcium              , ,ug/m^3, , 
1934,Ca    ,Ca_1934,Soluble Sub10micron Aerosol Calcium              , ,ug/m^3, ,
1935,nssK  ,nssK_1935,Soluble Submicron Aerosol non-Seasalt Potassium  , ,ug/m^3, , 
1936,nssK  ,nssK_1936,Soluble Supermicron Aerosol non-Seasalt Potassium, ,ug/m^3, , 
1937,nssK  ,nssK_1937,Soluble Sub10micron Aerosol non-Seasalt Potassium, ,ug/m^3, , 
1938,nssMg ,nssMg_1938,Soluble Submicron Aerosol non-Seasalt Magnesium  , ,ug/m^3, , 
1939,nssMg ,nssMg_1939,Soluble Supermicron Aerosol non-Seasalt Magnesium, ,ug/m^3, , 
1940,nssMg ,nssMg_1940,Soluble Sub10micron Aerosol non-Seasalt Magnesium, ,ug/m^3, , 
1941,nssCa ,nssCa_1941,Soluble Submicron Aerosol non-Seasalt Calcium    , ,ug/m^3, , 
1942,nssCa ,nssCa_1942,Soluble Supermicron Aerosol non-Seasalt Calcium  , ,ug/m^3, , 
1943,nssCa ,nssCa_1943,Soluble Sub10micron Aerosol non-Seasalt Calcium  , ,ug/m^3, , 
1944,Cl    ,Cl_1944,Soluble Submicron Aerosol Chloride               , ,ug/m^3, , 
1945,Cl    ,Cl_1945,Soluble Supermicron Aerosol Chloride             , ,ug/m^3, , 
1946,Cl    ,Cl_1946,Soluble Sub10micron Aerosol Chloride             , ,ug/m^3, , 
1947,NO3   ,NO3_1947,Soluble Submicron Aerosol Nitrate                , ,ug/m^3, , 
1948,NO3   ,NO3_1948,Soluble Supermicron Aerosol Nitrate              , ,ug/m^3, , 
1949,NO3   ,NO3_1949,Soluble Sub10micron Aerosol Nitrate              , ,ug/m^3, , 
1950,SO4   ,SO4_1950,Soluble Submicron Aerosol Sulfate                , ,ug/m^3, , 
1951,SO4   ,SO4_1951,Soluble Supermicron Aerosol Sulfate              , ,ug/m^3, , 
1952,SO4   ,SO4_1952,Soluble Sub10micron Aerosol Sulfate              , ,ug/m^3, , 
1953,nssSO4,nssSO4_1953,Soluble Submicron Aerosol non-Seasalt Sulfate    , ,ug/m^3, , 
1954,nssSO4,nssSO4_1954,Soluble Supermicron Aerosol non-Seasalt Sulfate  , ,ug/m^3, , 
1955,nssSO4,nssSO4_1955,Soluble Sub10micron Aerosol non-Seasalt Sulfate  , ,ug/m^3, , 
1956,MSA   ,MSA_1956,Soluble Submicron Aerosol Methane Sulfonic Acid  , ,ug/m^3, , 
1957,MSA   ,MSA_1957,Soluble Supermicron Aerosol Methane Sulfonic Acid, ,ug/m^3, , 
1958,MSA   ,MSA_1958,Soluble Sub10micron Aerosol Methane Sulfonic Acid, ,ug/m^3, , 
1959,OC    ,OC_1959,Submicron Aerosol Organic Carbon                 , ,ug/m^3, , 
1960,OC    ,OC_1960,Supermicron Aerosol Organic Carbon               , ,ug/m^3, , 
1961,OC    ,OC_1961,Sub10micron Aerosol Organic Carbon               , ,ug/m^3, , 
1962,BC    ,BC_1962,Submicron Aerosol Black Carbon                   , ,ug/m^3, , 
1963,BC    ,BC_1963,Supermicron Aerosol Black Carbon                 , ,ug/m^3, , 
1964,BC    ,BC_1964,Sub10micron Aerosol Black Carbon                 , ,ug/m^3, , 
1965,mass  ,mass_1965,Submicron Aerosol mass                           , ,ug/m^3, , 
1966,mass  ,mass_1966,Supermicron Aerosol mass                         , ,ug/m^3, , 
1967,mass  ,mass_1967,Sub10micron Aerosol mass                         , ,ug/m^3, , 
1968,Al    ,Al_1968,Submicron Aerosol Aluminum                       , ,ug/m^3, , 
1969,Al    ,Al_1969,Supermicron Aerosol Aluminum                     , ,ug/m^3, , 
1970,Al    ,Al_1970,Sub10micron Aerosol Aluminum                     , ,ug/m^3, , 
1971,Fe    ,Fe_1971,Submicron Aerosol Iron                           , ,ug/m^3, , 
1972,Fe    ,Fe_1972,Supermicron Aerosol Iron                         , ,ug/m^3, , 
1973,Fe    ,Fe_1973,Sub10micron Aerosol Iron                         , ,ug/m^3, , 
1974,Si    ,Si_1974,Submicron Aerosol Silicon                        , ,ug/m^3, , 
1975,Si    ,Si_1975,Supermicron Aerosol Silicon                      , ,ug/m^3, , 
1976,Si    ,Si_1976,Sub10micron Aerosol Silicon                      , ,ug/m^3, , 
1977,Ca    ,Ca_1977,Submicron Aerosol Calcium                        , ,ug/m^3, , 
1978,Ca    ,Ca_1978,Supermicron Aerosol Calcium                      , ,ug/m^3, , 
1979,Ca    ,Ca_1979,Sub10micron Aerosol Calcium                      , ,ug/m^3, , 
1980,Ti    ,Ti_1980,Submicron Aerosol Titanium                       , ,ug/m^3, , 
1981,Ti    ,Ti_1981,Supermicron Aerosol Titanium                     , ,ug/m^3, , 
1982,Ti    ,Ti_1982,Sub10micron Aerosol Titanium                     , ,ug/m^3, , 
1983,IOM   ,IOM_1983,Submicron Aerosol Inorganic Oxidized Material    , ,ug/m^3, , 
1984,IOM   ,IOM_1984,Supermicron Aerosol Inorganic Oxidized Material  , ,ug/m^3, , 
1985,IOM   ,IOM_1985,Sub10micron Aerosol Inorganic Oxidized Material  , ,ug/m^3, , 
1986,Oxlate,Oxlate_1986,Soluble Submicron Aerosol Oxalate                , ,ug/m^3, ,
1987,Oxlate,Oxlate_1987,Soluble Supermicron Aerosol Oxalate              , ,ug/m^3, ,
1988,Oxlate,Oxlate_1988,Soluble Sub10micron Aerosol Oxalate              , ,ug/m^3, ,
1989,Br    ,Br_1989,Soluble Submicron Aerosol Bromide                , ,ug/m^3, , 
1990,Br    ,Br_1990,Soluble Supermicron Aerosol Bromide              , ,ug/m^3, ,
1991,Br    ,Br_1991,Soluble Sub10micron Aerosol Bromide              , ,ug/m^3, ,
2980,CDOM,CDOM_2980,Colored Dissolved Organic Material,ppb ,output from eco-fluorometers,,
3001,Tec ,Tec_3001,ADCP Electronics Temp. ,temp,deg. C,F10.2,ADCP Electronics Box Temp.
3002,Vs  ,Vs_3002,ADCP Voltage          , ,v,F10.2,ADCP Supply Voltage
3003,sBP,sBP_3003,seas barometric pressure,BP,mbs,f10.2,seas barometric pressure
3004,sWB,sWB_3004,seas wet bulb temp,wbT,degree C,f10.2,seas wet bulb temp
3005,sAT,sAT_3005,seas air temp,atemp,degree C,f10.2,seas air temp
3006,sWD,sWD_3006,seas wind direction,WD,degree,f10.2,seas wind direction
3007,mWB,mWB_3007,manual wet bulb temp,wbulb,degree C,f10.2,manual wet bulb temp
3008,mAT,mAT_3008,manual air temp,dbulb,degree C,f10.2,manual air temp
3009,mT,mT_3009,manual water temp,temp,degree C,f10.2,manual water temp
3010,MFdep,MFdep_3010,Miller Freeman depth,depth,meters,f10.1,depth from Miller Freeman
3011,lat1,lat1_3011,gps1 lat 1 min,lat,degrees,f10.3,gps1 lat 1 min
3012,lon1,lon1_3012,gps1 lon 1 min,long,degrees,f10.3,gps1 lon 1 min
3013,sct,sct_3013,seacat temperature,temp,degree C,f10.2,seacat temperature
3014,scc,scc_3014,seacat conductivity,cond,mmhos,f10.2,seacat conductivity
3015,scs,scs_3015,seacat salinity,sal,ppt,f10.2,seacat salinity
3016,scz,scz_3016,seacat depth,depth,meters,f10.2,seacat depth
3017,Tx  ,Tx_3017,ADCP Transducer Temp.     ,temp,deg. C,F10.2,ADCP Transducer Temp.
3018,avTD,avTD_3018,avg true wind dir,WD,degree,f10.2,avg true wind dir
3019,avTS,avTS_3019,avg true wind speed,WS,m/sec,f10.2,avg true wind speed
3020,avC,avC_3020,avg conductivity,C,mmhos,f10.2,avg conductivity
3021,avT,avT_3021,avg temperature,T,degree C,f10.2,avg temperature
3022,avS,avS_3022,avg salinity,S,ppt,f10.2,avg salinity
3023,rWS,rWS_3023,rm young wind speed,WS,knots,f10.2,rm young wind speed
3024,rWD,rWD_3024,rm young wind dir,WD,degree,f10.2,rm young wind dir
3025,rAT,rAT_3025,rm young air temp,atemp,degree C,f10.2,rm young air temp
3026,ocWD,ocWD_3026,oc true direction,WD,degree,f10.2,oc true direction
3027,ocWS,ocWS_3027,oc wind speed,WS,knots,f10.2,oc wind speed
3028,ocWDA,ocWDA_3028,OC Wind Dir Avg,WD,degree,f10.2,OC Wind Dir Avg
